Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Middle,BB_Upper,BB_Lower,Color
2026-01-05,451.6700134277344,457.54998779296875,444.57000732421875,447.989990234375,67940800,,,451.6700134277344,451.6700134277344,0.0,0.0,0.0,,,,,#27ae60
2026-01-06,432.9599914550781,448.25,428.7799987792969,446.3800048828125,89093800,,,448.7915485088642,450.28408587420427,-1.4925373653400698,-0.29850747306801395,-1.1940298922720558,,,,,#c0392b
2026-01-07,431.4100036621094,438.3699951171875,431.2900085449219,435.8999938964844,59828800,,,446.1174646862865,448.8860057103454,-2.768541024058891,-0.7925141832661894,-1.9760268407927013,,,,,#c0392b
2026-01-08,435.79998779296875,436.8900146484375,424.3699951171875,427.8900146484375,57041100,,,444.530160548853,447.916671049799,-3.386510500945974,-1.3113134468021463,-2.0751970541438274,,,,,#27ae60
2026-01-09,445.010009765625,449.04998779296875,430.3900146484375,435.95001220703125,67331500,,,444.6039835052795,447.70136280652684,-3.097379301247372,-1.6685266176911915,-1.4288526835561806,,,,,#27ae60
2026-01-12,448.9599914550781,454.29998779296875,438.0,441.2300109863281,61649600,,,445.27413857447925,447.7945945582714,-2.5204559837921465,-1.8389124909113825,-0.681543492880764,,,,,#27ae60
2026-01-13,447.20001220703125,451.80999755859375,443.95001220703125,450.20001220703125,53719200,,,445.5704268256411,447.7505514211425,-2.180124595501411,-1.9071549118293885,-0.27296968367202257,,,,,#c0392b
2026-01-14,439.20001220703125,443.9100036621094,434.2200012207031,442.80999755859375,57259500,,,444.59036303816265,447.11717814602315,-2.5268151078605,-2.031086951035611,-0.49572815682488924,,,,,#c0392b
2026-01-15,438.57000732421875,445.3599853515625,437.6499938964844,441.1300048828125,49465800,,,443.66415446678667,446.48405438144505,-2.8198999146583787,-2.1888495437601647,-0.631050370898214,,,,,#c0392b
2026-01-16,437.5,447.25,435.260009765625,439.5,60220600,,,442.71582301035795,445.81856887170835,-3.1027458613503995,-2.3716288072782117,-0.7311170540721879,,,,,#c0392b
2026-01-20,419.25,430.7300109863281,417.44000244140625,429.3599853515625,63187300,,,439.1056963933798,443.8505267330633,-4.744830339683517,-2.846269113759273,-1.8985612259242441,,,,,#c0392b
2026-01-21,431.44000244140625,438.20001220703125,419.6199951171875,421.6600036621094,68124000,,,437.9263588623069,442.931228637385,-5.0048697750780775,-3.277989246023034,-1.7268805290550433,,,,,#27ae60
2026-01-22,449.3599853515625,449.5,432.6300048828125,435.1600036621094,71546700,,,439.68537832219243,443.40743283843517,-3.7220545162427356,-3.3668023000669747,-0.35525221617576097,,,,,#27ae60
2026-01-23,449.05999755859375,452.42999267578125,444.0400085449219,447.42999267578125,56771400,,,441.12762743548495,443.8261413362247,-2.6985139007397265,-3.233144620201525,0.5346307194617985,48.66740688364394,,,,#27ae60
2026-01-26,435.20001220703125,445.0400085449219,434.2799987792969,445.0,49397400,,,440.2156866311075,443.1871688081363,-2.971482177028804,-3.180812131566981,0.20932995453817682,42.633505253563,,,,#c0392b
2026-01-27,430.8999938964844,437.5199890136719,430.69000244140625,437.4100036621094,37733100,,,438.78250313347314,442.2770077035695,-3.4945045700963533,-3.2435506192728556,-0.2509539508234977,48.94228858777303,,,,#c0392b
2026-01-28,431.4599914550781,438.260009765625,430.1000061035156,431.9100036621094,54857400,,,437.6559628752585,441.4757472407183,-3.819784365459782,-3.358797368510241,-0.4609869969495408,50.025929980820045,,,,#c0392b
2026-01-29,416.55999755859375,440.2300109863281,414.6199951171875,437.79998779296875,81686100,,,434.4104297496178,439.6301361531535,-5.219706403535724,-3.730979175515338,-1.4887272280203865,41.00093693850064,,,,#c0392b
2026-01-30,430.4100036621094,439.8800048828125,422.70001220703125,425.3500061035156,82626100,,,433.79497958230877,438.9471633760391,-5.15218379373033,-4.015220099158337,-1.1369636945719934,43.45525687008354,,,,#27ae60
2026-02-02,421.80999755859375,427.1499938964844,414.5,421.2900085449219,58739500,436.1865005493164,,431.9511361940449,437.677743685858,-5.72660749181307,-4.3574975776892835,-1.3691099141237864,38.3165502809987,436.1865005493164,456.5880939070364,415.7849071915964,#27ae60
2026-02-03,421.9599914550781,428.55999755859375,413.69000244140625,424.2699890136719,56752500,434.7009994506836,,430.41403700343466,436.51346574283724,-6.099428739402583,-4.705883810031944,-1.3935449293706395,38.985851060458,434.7009994506836,454.67776977316674,414.7242291282004,#c0392b
